image,front_left,front_right,rear_left,rear_right,hood,config,zoom_id,zoom_name,zoom_delta,angle_id
cfg_00000_zoom_out_a00.png,0,0,0,0,0,00000,0,zoom_out,300,0
cfg_00000_zoom_out_a01.png,0,0,0,0,0,00000,0,zoom_out,300,1
cfg_00000_zoom_out_a02.png,0,0,0,0,0,00000,0,zoom_out,300,2
cfg_00000_zoom_out_a03.png,0,0,0,0,0,00000,0,zoom_out,300,3
cfg_00000_zoom_out_a04.png,0,0,0,0,0,00000,0,zoom_out,300,4
cfg_00000_zoom_out_a05.png,0,0,0,0,0,00000,0,zoom_out,300,5
cfg_00000_zoom_out_a06.png,0,0,0,0,0,00000,0,zoom_out,300,6
cfg_00000_zoom_out_a07.png,0,0,0,0,0,00000,0,zoom_out,300,7
cfg_00000_zoom_out_a08.png,0,0,0,0,0,00000,0,zoom_out,300,8
cfg_00000_zoom_out_a09.png,0,0,0,0,0,00000,0,zoom_out,300,9
cfg_00000_zoom_out_a10.png,0,0,0,0,0,00000,0,zoom_out,300,10
cfg_00000_zoom_out_a11.png,0,0,0,0,0,00000,0,zoom_out,300,11
cfg_00000_zoom_out_a12.png,0,0,0,0,0,00000,0,zoom_out,300,12
cfg_00000_zoom_out_a13.png,0,0,0,0,0,00000,0,zoom_out,300,13
cfg_00000_zoom_out_a14.png,0,0,0,0,0,00000,0,zoom_out,300,14
cfg_00000_zoom_out_a15.png,0,0,0,0,0,00000,0,zoom_out,300,15
cfg_00000_zoom_out_a16.png,0,0,0,0,0,00000,0,zoom_out,300,16
cfg_00000_zoom_out_a17.png,0,0,0,0,0,00000,0,zoom_out,300,17
cfg_00000_zoom_out_a18.png,0,0,0,0,0,00000,0,zoom_out,300,18
cfg_00000_zoom_out_a19.png,0,0,0,0,0,00000,0,zoom_out,300,19
cfg_00000_zoom_out_a20.png,0,0,0,0,0,00000,0,zoom_out,300,20
cfg_00000_zoom_out_a21.png,0,0,0,0,0,00000,0,zoom_out,300,21
cfg_00000_zoom_out_a22.png,0,0,0,0,0,00000,0,zoom_out,300,22
cfg_00000_zoom_out_a23.png,0,0,0,0,0,00000,0,zoom_out,300,23
cfg_00000_normal_a00.png,0,0,0,0,0,00000,1,normal,0,0
cfg_00000_normal_a01.png,0,0,0,0,0,00000,1,normal,0,1
cfg_00000_normal_a02.png,0,0,0,0,0,00000,1,normal,0,2
cfg_00000_normal_a03.png,0,0,0,0,0,00000,1,normal,0,3
cfg_00000_normal_a04.png,0,0,0,0,0,00000,1,normal,0,4
cfg_00000_normal_a05.png,0,0,0,0,0,00000,1,normal,0,5
cfg_00000_normal_a06.png,0,0,0,0,0,00000,1,normal,0,6
cfg_00000_normal_a07.png,0,0,0,0,0,00000,1,normal,0,7
cfg_00000_normal_a08.png,0,0,0,0,0,00000,1,normal,0,8
cfg_00000_normal_a09.png,0,0,0,0,0,00000,1,normal,0,9
cfg_00000_normal_a10.png,0,0,0,0,0,00000,1,normal,0,10
cfg_00000_normal_a11.png,0,0,0,0,0,00000,1,normal,0,11
cfg_00000_normal_a12.png,0,0,0,0,0,00000,1,normal,0,12
cfg_00000_normal_a13.png,0,0,0,0,0,00000,1,normal,0,13
cfg_00000_normal_a14.png,0,0,0,0,0,00000,1,normal,0,14
cfg_00000_normal_a15.png,0,0,0,0,0,00000,1,normal,0,15
cfg_00000_normal_a16.png,0,0,0,0,0,00000,1,normal,0,16
cfg_00000_normal_a17.png,0,0,0,0,0,00000,1,normal,0,17
cfg_00000_normal_a18.png,0,0,0,0,0,00000,1,normal,0,18
cfg_00000_normal_a19.png,0,0,0,0,0,00000,1,normal,0,19
cfg_00000_normal_a20.png,0,0,0,0,0,00000,1,normal,0,20
cfg_00000_normal_a21.png,0,0,0,0,0,00000,1,normal,0,21
cfg_00000_normal_a22.png,0,0,0,0,0,00000,1,normal,0,22
cfg_00000_normal_a23.png,0,0,0,0,0,00000,1,normal,0,23
cfg_00000_zoom_in_a00.png,0,0,0,0,0,00000,2,zoom_in,-300,0
cfg_00000_zoom_in_a01.png,0,0,0,0,0,00000,2,zoom_in,-300,1
cfg_00000_zoom_in_a02.png,0,0,0,0,0,00000,2,zoom_in,-300,2
cfg_00000_zoom_in_a03.png,0,0,0,0,0,00000,2,zoom_in,-300,3
cfg_00000_zoom_in_a04.png,0,0,0,0,0,00000,2,zoom_in,-300,4
cfg_00000_zoom_in_a05.png,0,0,0,0,0,00000,2,zoom_in,-300,5
cfg_00000_zoom_in_a06.png,0,0,0,0,0,00000,2,zoom_in,-300,6
cfg_00000_zoom_in_a07.png,0,0,0,0,0,00000,2,zoom_in,-300,7
cfg_00000_zoom_in_a08.png,0,0,0,0,0,00000,2,zoom_in,-300,8
cfg_00000_zoom_in_a09.png,0,0,0,0,0,00000,2,zoom_in,-300,9
cfg_00000_zoom_in_a10.png,0,0,0,0,0,00000,2,zoom_in,-300,10
cfg_00000_zoom_in_a11.png,0,0,0,0,0,00000,2,zoom_in,-300,11
cfg_00000_zoom_in_a12.png,0,0,0,0,0,00000,2,zoom_in,-300,12
cfg_00000_zoom_in_a13.png,0,0,0,0,0,00000,2,zoom_in,-300,13
cfg_00000_zoom_in_a14.png,0,0,0,0,0,00000,2,zoom_in,-300,14
cfg_00000_zoom_in_a15.png,0,0,0,0,0,00000,2,zoom_in,-300,15
cfg_00000_zoom_in_a16.png,0,0,0,0,0,00000,2,zoom_in,-300,16
cfg_00000_zoom_in_a17.png,0,0,0,0,0,00000,2,zoom_in,-300,17
cfg_00000_zoom_in_a18.png,0,0,0,0,0,00000,2,zoom_in,-300,18
cfg_00000_zoom_in_a19.png,0,0,0,0,0,00000,2,zoom_in,-300,19
cfg_00000_zoom_in_a20.png,0,0,0,0,0,00000,2,zoom_in,-300,20
cfg_00000_zoom_in_a21.png,0,0,0,0,0,00000,2,zoom_in,-300,21
cfg_00000_zoom_in_a22.png,0,0,0,0,0,00000,2,zoom_in,-300,22
cfg_00000_zoom_in_a23.png,0,0,0,0,0,00000,2,zoom_in,-300,23
cfg_00001_zoom_out_a00.png,0,0,0,0,1,00001,0,zoom_out,300,0
cfg_00001_zoom_out_a01.png,0,0,0,0,1,00001,0,zoom_out,300,1
cfg_00001_zoom_out_a02.png,0,0,0,0,1,00001,0,zoom_out,300,2
cfg_00001_zoom_out_a03.png,0,0,0,0,1,00001,0,zoom_out,300,3
cfg_00001_zoom_out_a04.png,0,0,0,0,1,00001,0,zoom_out,300,4
cfg_00001_zoom_out_a05.png,0,0,0,0,1,00001,0,zoom_out,300,5
cfg_00001_zoom_out_a06.png,0,0,0,0,1,00001,0,zoom_out,300,6
cfg_00001_zoom_out_a07.png,0,0,0,0,1,00001,0,zoom_out,300,7
cfg_00001_zoom_out_a08.png,0,0,0,0,1,00001,0,zoom_out,300,8
cfg_00001_zoom_out_a09.png,0,0,0,0,1,00001,0,zoom_out,300,9
cfg_00001_zoom_out_a10.png,0,0,0,0,1,00001,0,zoom_out,300,10
cfg_00001_zoom_out_a11.png,0,0,0,0,1,00001,0,zoom_out,300,11
cfg_00001_zoom_out_a12.png,0,0,0,0,1,00001,0,zoom_out,300,12
cfg_00001_zoom_out_a13.png,0,0,0,0,1,00001,0,zoom_out,300,13
cfg_00001_zoom_out_a14.png,0,0,0,0,1,00001,0,zoom_out,300,14
cfg_00001_zoom_out_a15.png,0,0,0,0,1,00001,0,zoom_out,300,15
cfg_00001_zoom_out_a16.png,0,0,0,0,1,00001,0,zoom_out,300,16
cfg_00001_zoom_out_a17.png,0,0,0,0,1,00001,0,zoom_out,300,17
cfg_00001_zoom_out_a18.png,0,0,0,0,1,00001,0,zoom_out,300,18
cfg_00001_zoom_out_a19.png,0,0,0,0,1,00001,0,zoom_out,300,19
cfg_00001_zoom_out_a20.png,0,0,0,0,1,00001,0,zoom_out,300,20
